"Phase","Step","Action","Detail / Command","Touches Production?","Verification","Rollback","Owner","Stakeholder Approval"
"Phase 3 - Deploy Landing (safe preview -> live)","3.3","Verify preview URL","Open the 'next---landing-...' preview URL","No (preview)","Boxes open designer, demos animate, Freemium shows 30","n/a","Niraj + Stakeholder",""
"Phase 3 - Deploy Landing (safe preview -> live)","3.4","Shift traffic to live","gcloud run services update-traffic landing --to-latest --region us-central1 --project prhomzmvp-nonprod","YES - LIVE","prhomzai.com serves the new revision","update-traffic --to-revisions=<PREV>=100","Niraj",""
"Phase 3 - Deploy Landing (safe preview -> live)","3.5","Verify prhomzai.com","Open the live landing site","YES - LIVE","Both changes visible on prhomzai.com","Cloud Run traffic revert","Niraj + Stakeholder",""
"Phase 4 - Post-launch","4.1","Full end-to-end check","Designer: signup/login/generate/shop; Landing: CTAs + How-it-works boxes -> designer; membership parity across both sites","No (verification)","All flows pass","Rollback if issues","Niraj + Stakeholder",""
"Phase 4 - Post-launch","4.2","Keep preview channels alive","Do NOT delete. Extend brand-design channel expiry (--expires 30d) for the PWA phase. green-design optional to keep","No","brand-design channel reachable","n/a","Claude",""
"Phase 4 - Post-launch","4.3","Update docs & tag releases","Update RUNBOOK.md (designer release + landing vN); git tag both repos","No","Docs updated, tags pushed","n/a","Claude + Niraj",""
"Phase 5 - PWA / Mobility (LATER)","5.1","Build PWA on brand channel","Web manifest + 512/192 brand icons + service worker; deploy to brand-design channel","No (channel)","Installable PWA on brand channel","Revert code","Claude",""
"Phase 5 - PWA / Mobility (LATER)","5.2","Verify PWA on brand channel","Install + offline test on the brand channel URL","No (channel)","PWA installs and runs","n/a","Niraj + Stakeholder",""
"Phase 5 - PWA / Mobility (LATER)","5.3","Second production round (PWA)","Build + npx firebase-tools deploy --only hosting:app --project prhomzmvp-nonprod","YES - LIVE","PWA live on designer.prhomzai.com","Firebase console rollback","Niraj",""
"Phase 5 - PWA / Mobility (LATER)","5.4","Delete preview channels (final cleanup)","firebase hosting:channel:delete green-design ; firebase hosting:channel:delete brand-design (project prhomzmvp-nonprod)","No","Channels removed","n/a","Niraj",""
